product_id,product_name,category,sub_category,brand,list_price,cost_price
P1001,Sofa 2 Seater Aurora,Sofa & Kursi,Sofa 2 Seater,Sentra Jaya,9565000,6133000.0
P1002,Sofa 2 Seater Aurora,Sofa & Kursi,Sofa 2 Seater,Kayana,6070000,3951000.0
P1003,Sofa 2 Seater Gading,Sofa & Kursi,Sofa 2 Seater,Rumaku Signature,5510000,3302000.0
P1004,Sofa 3 Seater Cendana,Sofa & Kursi,Sofa 3 Seater,Nordika,9490000,5726000.0
P1005,Sofa 3 Seater Cendana,Sofa & Kursi,Sofa 3 Seater,Sentra Jaya,8960000,5334000.0
P1006,Sofa 3 Seater Elang,Sofa & Kursi,Sofa 3 Seater,Sentra Jaya,3770000,2268000.0
P1007,Kursi Santai Fajar,Sofa & Kursi,Kursi Santai,Kayana,9940000,6084000.0
P1008,Kursi Santai Fajar,Sofa & Kursi,Kursi Santai,Rumaku Signature,4600000,2701000.0
P1009,Kursi Santai Halim,Sofa & Kursi,Kursi Santai,Ombak Living,9910000,5779000.0
P1010,Kursi Santai Halim,Sofa & Kursi,Kursi Santai,Alunan,8765000,5024000.0
P1011,Bean Bag Cendana,Sofa & Kursi,Bean Bag,Sentra Jaya,7530000,4324000.0
P1012,Bean Bag Cendana,Sofa & Kursi,Bean Bag,Sentra Jaya,2990000,
P1013,Bean Bag Halim,Sofa & Kursi,Bean Bag,Nordika,9940000,6197000.0
P1014,Bean Bag Aurora,Sofa & Kursi,Bean Bag,Rumaku Signature,3670000,2179000.0
P1015,Bean Bag Fajar,Sofa & Kursi,Bean Bag,Rumaku Signature,5915000,
P1016,Kursi Makan Damar,Sofa & Kursi,Kursi Makan,Sentra Jaya,10540000,6747000.0
P1017,Kursi Makan Halim,Sofa & Kursi,Kursi Makan,Nordika,3605000,2306000.0
P1018,Kursi Makan Fajar,Sofa & Kursi,Kursi Makan,Nordika,7440000,4871000.0
P1019,Kursi Makan Halim,Sofa & Kursi,Kursi Makan,Rumaku Signature,6675000,4150000.0
P1020,Kursi Makan Elang,Sofa & Kursi,Kursi Makan,Ombak Living,8340000,5109000.0
P1021,Meja Makan Cendana,Meja,Meja Makan,Rumaku Signature,6280000,4340000.0
P1022,Meja Makan Bromo,Meja,Meja Makan,Nordika,5875000,3982000.0
P1023,Meja Makan Cendana,Meja,Meja Makan,Kayana,4250000,2745000.0
P1024,Meja Makan Gading,Meja,Meja Makan,Nordika,6150000,4017000.0
P1025,Meja Makan Halim,Meja,Meja Makan,Nordika,4865000,3169000.0
P1026,Meja Kerja Gading,Meja,Meja Kerja,Sentra Jaya,1110000,689000.0
P1027,Meja Kerja Aurora,Meja,Meja Kerja,Ombak Living,1050000,746000.0
P1028,Meja Kerja Aurora,Meja,Meja Kerja,Alunan,2185000,1446000.0
P1029,Meja Kerja Halim,Meja,Meja Kerja,Nordika,5760000,4120000.0
P1030,Meja Kerja Elang,Meja,Meja Kerja,Nordika,3315000,2200000.0
P1031,Meja Kopi Fajar,Meja,Meja Kopi,Kayana,4065000,2859000.0
