order_id,order_date,customer_id,product_id,store_id,channel,qty,unit_price,discount_pct,shipping_cost,payment_method,order_status
ORD110836,08/08/2024,C24666,P1148,S99, Online ,1,1498000,25.0,388000.0,Tunai,Selesai
ORD103101,2024-10-11,C22154,P1093,S99,online,1,381000,0.0,224000.0,Tunai,Selesai
ORD101208,2025-10-26,C23997,P1125,S99,Online,1,2408000,5.0,66000.0,Kartu Kredit,Selesai
ORD101965,29/12/2025,C24737,P1138,S99,Online,1,2986000,30.0,186000.0,KARTU KREDIT,Selesai
ORD105617,2025-03-07,C25856,P1083,S10,Toko Fisik,1,7415000,0.0,0.0,Kartu Kredit,Dibatalkan
ORD104084,06/11/2025,C22787,P1165,S99,Online,1,1045000,25.0,274000.0,Kartu Kredit,Selesai
ORD103487,2025-09-19,C22598,P1037,S99,Online,1,5338000,5.0,205000.0,Kartu Kredit,Selesai
ORD103855,2024-04-15,C23190,P1078,S99,Online,2,1976000,20.0,213000.0,Transfer Bank,Selesai
ORD105611,2024-04-29,C21838,P1086,S04,Offline,1,Rp 295.000,15.0,0.0,Transfer Bank,Selesai
ORD101157,2025-03-03,C23871,P1126,S03,Offline,1,1240000,0.0,0.0,Tunai,Dibatalkan
ORD111351,2025-08-11,C21090,P1064,S99,Online,1,Rp 13.821.000,20.0,,Kartu Kredit,Selesai
ORD107198,17/09/2024,C24144,P1149,S11,Offline,2,Rp 1.099.000,5.0,0.0,EWallet,Selesai
ORD108700,2024-11-14,C24098,P1125,S11,Offline,1,2440000,,0.0,Cicilan 0%,Selesai
ORD100247,2024-09-14,C24321,P1069,S99,ONLINE,1,2180000,25.0,207000.0,KARTU KREDIT,Dibatalkan
ORD105720,2024-05-25,C23638,P1154,S99,Online,1,132000,25.0,97000.0,Transfer Bank,Selesai
ORD106959,2024-12-17,C23643,P1134,S99,online,1,1826000,15.0,241000.0,E-Wallet,Retur
ORD106517,2024-04-12,C20965,P1170,S02,Offline,1,Rp 279.000,10.0,0.0,Transfer Bank,Selesai
ORD106310,2025-04-26,C25532,P1024,S99,ONLINE,1,5791000,20.0,,E-Wallet,Selesai
ORD102715,2024-07-08,C23525,P1014,S08,Offline,1,3381000,,0.0,Kartu Kredit,Dibatalkan
ORD105006,2025-04-29,C21938,P1111,S99,Online,2,857000,10.0,398000.0,COD,Retur
ORD111238,2025-08-07,C23604,P1088,S99,Online,2,206000,10.0,488000.0,COD,Selesai
ORD109978,2025-09-02,C22679,P1152,S99,Online,2,178000,0.0,505000.0,Transfer Bank,Selesai
ORD101355,2025-05-10,C21946,P1066,S99,Online,3,4524000,20.0,219000.0,Kartu Kredit,Selesai
ORD109449,2025-12-09,C24757,P1100,S01,Offline,1,1070000,15.0,0.0,Kartu Kredit,Selesai
ORD103694,2024-12-01,C22070,P1145,S99,Online,1,1945000,20.0,456000.0,Kartu Kredit,Retur
ORD104317,2024-12-09,C22733,P1047,S99,Online,1,8833000,20.0,228000.0,Transfer Bank,Selesai
ORD109846,2024-08-21,C23896,P1165,S99,Online,1,1135000,15.0,164000.0,E-Wallet,Selesai
ORD102638,03/02/2025,C24784,P1054,S99,Online,1,Rp 2.102.000,0.0,487000.0,COD,Selesai
ORD105853,2025-02-06,C20544,P1087,S99,online,1,136000,0.0,,transfer bank,Selesai
ORD102218,2024-07-20,C25991,P1076,S99, Online ,1,4181000,15.0,342000.0,Transfer,Selesai
ORD110156,09/04/2025,C21406,P1157,S07,Toko Fisik,1,1217000,5.0,0.0,E-Wallet,Retur
ORD107503,2024-09-27,C20630,P1138,S99,online,1,Rp 3.004.000,25.0,485000.0,Transfer Bank,Selesai
ORD104031,2025-01-04,C24645,P1036,S99,Online,2,2376000,25.0,238000.0,Transfer Bank,Selesai
ORD102879,2025-12-22,C25608,P1015,S99,Online,1,6074000,30.0,373000.0,E-Wallet,Selesai
ORD107540,2025-11-02,C20902,P1080,S99,online,1,7115000,15.0,58000.0,Kartu Kredit,Selesai
ORD108153,2025-03-16,C21282,P1145,S99,ONLINE,1,1882000,0.0,143000.0,Transfer Bank,Selesai
ORD108159,15/04/2024,C23294,P1142,S99,Online,3,2373000,0.0,494000.0,Kartu Kredit,Selesai
ORD108331,2025-04-24,C25554,P1076,S08,Offline,3,3840000,10.0,0.0,Tunai,Selesai
ORD107085,2025-01-25,C20009,P1018,S12,Offline,1,7312000,0.0,0.0,Transfer Bank,Selesai
ORD111099,2024-08-09,C25080,P1110,S08,Offline,1,1451000,0.0,0.0,E-Wallet,Selesai
ORD108574,2025-10-03,C21420,P1155,S04,Offline,2,Rp 782.000,5.0,0.0,Cicilan 0%,Selesai
ORD108900,2024-02-21,C25365,P1004,S99,Online,1,9067000,15.0,460000.0,Cicilan 0%,Selesai
ORD109980,2025-04-03,C21967,P1149,S99,Online,1,1057000,30.0,99000.0,Cicilan 0%,Selesai
ORD102901,03/07/2025,C24654,P1106,S99,Online,1,819000,30.0,83000.0,E-Wallet,Selesai
ORD111708,2025-01-17,C23334,P1075,S99,Online,2,5284000,15.0,63000.0,COD,Selesai
ORD102616,2024-02-08,C23145,P1062,S99,Online,2,15155000,5.0,408000.0,Cicilan 0%,Selesai
ORD111560,2024-11-08,C21915,P1083,S99,Online,1,7872000,20.0,492000.0,COD,Dibatalkan
ORD108336,2025-02-11,C21571,P1117,S99,Online,1,1853000,20.0,345000.0,Transfer Bank,Selesai
ORD107740,14/03/2024,C22327,P1092,S12,Offline,1,Rp 1.193.000,0.0,0.0,Kartu Kredit,Selesai
ORD111922,2025-07-13,C21074,P1036,S10,Offline,1,2188000,10.0,0.0,Tunai,Selesai
ORD102325,2025-11-24,C21216,P1116,S99, Online ,1,693000,35.0,125000.0,Tunai,Selesai
ORD106884,27/10/2025,C22982,P1102,S07,OFFLINE,1,607000,5.0,0.0,Cicilan 0%,Selesai
ORD103060,2025-08-29,C22591,P1014,S04,Offline,1,3429000,0.0,0.0,Transfer Bank,Selesai
ORD105226,2025-11-13,C20201,P1091,S09,Offline,1,649000,25.0,0.0,E-Wallet,Selesai
ORD101369,2025-11-29,C24634,P1058,S10,Offline,1,1960000,20.0,,transfer bank,Selesai
ORD101864,2024-08-04,C23309,P1072,S99,Online,1,3616000,5.0,212000.0,transfer bank,Selesai
ORD106826,2024-10-05,C24465,P1139,S99,Online,1,2055000,15.0,132000.0,E-Wallet,Selesai
ORD108466,2025-03-15,C24658,P1145,S09,Offline,1,1873000,20.0,0.0,Cicilan 0 %,Selesai
ORD102267,2025-07-05,C20403,P1169,S99,Online,1,Rp 445.000,10.0,79000.0,E-Wallet,Selesai
ORD105781,2024-05-07,C22813,P1160,S99,Online,1,536000,10.0,274000.0,Cicilan 0 %,Selesai
ORD109819,2025-09-28,C24723,P1042,S03,Offline,2,1038000,10.0,0.0,Tunai,Selesai
ORD100932,2025-04-19,C22281,P1074,S12,Offline,1,2704000,0.0,0.0,E-Wallet,Selesai
ORD105111,2025-04-09,C20378,P1057,S07,Offline,1,7768000,0.0,0.0,Kartu Kredit,Selesai
ORD107920,2025-02-16,C23173,P1145,S99,Online,1,1918000,5.0,75000.0,Cicilan 0%,Selesai
ORD105151,2024-07-21,C21695,P1079,S01,Offline,2,5792000,10.0,0.0,KARTU KREDIT,Selesai
